0150268,株式会社龍閑堂薬局,1010032,（調基１）（在薬）,東京都千代田区岩本町三丁目４番１号,03-3866-4615
0150466,株式会社山田眞薬局,1010061,,東京都千代田区神田三崎町三丁目４番８号,03-3261-0093
0151191,小川町薬局,1010052,（調基１）（後発調１）（か薬）（在薬）,東京都千代田区神田小川町三丁目２番地１,03-3291-1065
0151258,神田登栄薬局,1010044,（調基１）（地支体）（後発調１）（か薬）（在薬）,東京都千代田区鍛冶町二丁目２番９号第二登栄ビル５階,03-3254-0848
0151308,新お茶の水薬局,1010062,（調基２）（か薬）（在薬）,東京都千代田区神田駿河台四丁目３番地新お茶の水ビル地下１階,03-3295-6877
0151365,東京薬局,1010051,（調基１）（在薬）,東京都千代田区神田神保町一丁目２１番地２,03-3291-0082
0151530,二六堂調剤薬局,1010024,（調基１）（か薬）（在薬）,東京都千代田区神田和泉町１番地１１ファベルハウス１階,03-3864-8269
0151571,マルマツ薬局,1020072,（調基１）（在薬）,東京都千代田区飯田橋二丁目９番５号,03-3261-7224
0151662,お茶の水駅前薬局,1010062,（調基１）（か薬）（在薬）,東京都千代田区神田駿河台二丁目３番地お茶の水髙木ビル１階,03-3291-2438
0151712,イヅミ薬局,1010024,（調基１）（在薬）,東京都千代田区神田和泉町１番地９,03-3866-5377
0151720,清水薬局,1020072,（調基１）（か薬）（在薬）,東京都東京都千代田区飯田橋一丁目１０番４号,03-3261-3554
0151753,第一薬局,1010061,（調基１）（後発調２）,東京都千代田区三崎町一丁目４番８号愛光舎ビル１階,03-3295-3800
0151761,小西三誠堂薬局,1020083,（調基１）（在薬）,東京都千代田区麹町二丁目４番地１０三誠堂ビル１階,03-3262-5291
0151811,和同会薬局,1010062,（調基１）（地支体）（か薬）（在薬）,東京都千代田区神田駿河台二丁目３番地２１,03-3814-0101
0151910,興生堂薬局,1010051,（調基１）（地支体）（か薬）（在薬）,東京都千代田区神田神保町一丁目４８番地１,03-3291-4417
0151936,日本調剤飯田橋薬局,1020071,（調基１）（在調）（か薬）（在薬）,東京都千代田区富士見二丁目３番１３号,03-5275-5867
0151951,あつみ調剤薬局,1010027,（調基１）（地支体）（在調）（か薬）（在薬）,東京都千代田区神田平河町１番地ビル２．３階,03-5687-8526
0152009,シンセイ堂薬局,1010021,,東京都千代田区外神田三丁目１５番７号,03-3251-0993
0152041,東優企業組合オギムラ薬局営業所,1020074,（調基１）（か薬）,東京都千代田区九段南二丁目４番１１号,03-3261-0278
0152124,さくら薬局内神田店,1010047,（調基３ロ）（在薬）,東京都千代田区内神田二丁目４番１号神田メディカルビル１階,03-3252-5225
0152207,水道橋薬局,1010061,（調基１）（か薬）（在薬）,東京都千代田区神田三崎町二丁目１７番５号,03-5226-2388
0152355,小池薬局,1020071,（調基１）,東京都千代田区富士見二丁目１１番１２号馬場ビル１階,03-3261-3632
0152512,江川薬局,1010021,（調基１）,東京都千代田区外神田六丁目１３番１４号,03-3831-7150
0152561,薬局タワードラッグ,1000011,（調基１）（在薬）,東京都千代田区内幸町一丁目１番１号インペリアルタワー１階,03-3501-5677
0152595,ココカラファイン薬局神保町店,1010051,（調基１）（地支体）（在調）（か薬）（在薬）,東京都千代田区神田神保町二丁目９番地神田神保町メディカルモール１階,03-3556-0574
0152603,アサヒ薬局,1010046,（調基１）,東京都千代田区神田多町二丁目７番地５アサヒビル１階,03-3252-0016
0152694,麹町調剤薬局,1020083,（調基１）,東京都千代田区麹町三丁目７番地フィオ麹町,03-3222-3977
0152710,薬局トモズ神田和泉町店,1010024,（調基３イ）（在薬）,東京都千代田区神田和泉町１番地商事神田和泉町ビル１階,03-5687-1189
0152736,薬局アメリカンファーマシー,1000005,（調基１）（か薬）（在薬）,東京都丸の内店丸の内ビルディング地下１階,03-5220-7716
0152751,子安薬局有楽町店,1000006,（調基１）,東京都千代田区有楽町一丁目１０番１号有楽町ビルヂング１階,03-3201-3335
0152827,タンシ薬局,1020072,（調基１）（地支体）（か薬）（在薬）,東京都千代田区飯田橋三丁目７番４号彩風館１階,03-5215-1502
0152850,十字堂薬局,1010052,（調基１）,東京都千代田区神田小川町一丁目５番地１神田御幸ビル１階,03-3295-4660
0152868,クローバー薬局,1020094,（調基１）（地支体）（か薬）（在薬）,東京都千代田区紀尾井町３番２９号尾井町第２山本ビル１階,03-3512-5858
0152884,神田薬局,1010054,（調基１）（か薬）（在薬）,東京都千代田区神田錦町一丁目６番地鈴木ビル１階,03-3233-1132
0152926,バンビー薬局一番町店,1020083,（調基１）（地支体）（か薬）（在薬）,東京都千代田区麹町一丁目８番３号蔵門ハイム１階,03-3230-0471
0152934,池田薬局,1020074,（調基１）（地支体）（か薬）（在薬）,東京都千代田区九段南四丁目６番１号九段シルバーパレス１０３号,03-3265-0051
0152967,コトブキ調剤薬局,1010062,（調基１）（か薬）（在薬）,東京都千代田区神田駿河台二丁目１０番地１,03-3291-0380
0153007,有美薬局,1010047,（調基１）,東京都千代田区内神田三丁目２１番７号有田ビル１階,03-3254-6006
0153023,エフエル薬局,1000014,（調基１）（後発調３）（か薬）（在薬）,東京都千代田区永田町二丁目１４番２号山王グランドビル１階,03-3593-1366
0153056,ニシザワ薬局,1010047,（調基１）（地支体）（か薬）（在薬）,東京都千代田区内神田三丁目１４番８号ニシザワビル１階,03-3252-2430
0153148,調剤薬局丸の内ファーマシー,1000005,（調基１）（後発調１）（か薬）（在薬）,東京都千代田区丸の内一丁目６番２号新丸の内センタービルディング２階,03-5288-6755
0153171,日本調剤お茶の水中央薬局,1010062,（調基１）（在調）（か薬）（在薬）,東京都千代田区神田駿河台二丁目１番１５号岩崎ビル１階２階,03-5217-0871
0153189,日比谷プラザ薬局,1000006,（調基１）,東京都千代田区有楽町一丁目６番１０号スクワール日比谷ビル２階,03-3591-6868
0153197,薬石花房幸福薬局,1000011,,東京都千代田区内幸町一丁目１番１号帝国ホテルプラザ４階,03-3580-0259
0153221,株式会社薬局淡路町ファーマシー,1010063,（調基２）（後発調１）（か薬）（在薬）,東京都千代田区神田淡路町二丁目２３番地Ｈビル１階,03-3253-3317
0153239,日本調剤飯田橋西口薬局,1020071,（調基１）（地支体）（在調）（か薬）（在薬）,東京都千代田区富士見二丁目９番１０号,03-3221-7217
0153288,日本調剤駿河台薬局,1010062,（調基３ロ）（後発調１）（か薬）（在薬）,東京都千代田区神田駿河台二丁目５番地村田ビルディング１階,03-5577-3918
0153312,いけだ薬局駅前調剤店,1020074,（調基１）（在薬）,東京都千代田区九段南四丁目８番２９号小久保ビル１階,03-5215-8989
0153379,ツイン薬局半蔵門店,1020083,（調基１）,東京都千代田区麹町一丁目８番地７ミナビル１階,03-6661-4551
0153387,ファーコス薬局アキバ,1010023,（調基１）（地支体）（在調）（か薬）（在薬）,東京都千代田区神田松永町１１番地Ｔ第一ビル１階,03-3526-5922
0153395,マルマツ薬局九段店,1020072,（調基１）（在薬）,東京都千代田区飯田橋一丁目５番８号アクサンビル１階,03-6808-5320
0153403,雄飛堂薬局秋葉原店,1010024,（調基１）（後発調２）（か薬）（在薬）,東京都千代田区神田和泉町一丁目１３番地１水戸部ビル１階,03-5809-1901
0153411,日生薬局秋葉原店,1010025,（調基１）（地支体）（在調）（か薬）（在薬）,東京都千代田区神田佐久間町三丁目２７番地３ガーデンパークビル１階,03-5823-7461
0153429,アップル薬局六番町店,1020085,（調基１）（地支体）（在調）（か薬）（在薬）,東京都千代田区六番町７番地１階,03-5211-2460
0153437,クオール薬局四谷店,1020083,（調基１）（地支体）（か薬）（在薬）,東京都千代田区麹町五丁目４番地ニビル１階,03-3230-3185
0153452,神田いちご薬局,1010035,（調基１）（地支体）（か薬）（在薬）,東京都千代田区神田紺屋町５番地Ｍビル１階,03-5256-1562
0153486,雄飛堂薬局飯田橋店,1020072,（調基１）（地支体）（後発調１）（在調）（か薬）（在薬）,東京都千代田区飯田橋四丁目３番２号１階,03-5216-3099
