150268,株式会社　龍閑堂薬局,1010032,（調基１）（在薬）,東京都千代田区岩本町三丁目４番１号,03-3866-4615,"Chiyoda-ku, Tokyo Iwamotocho Chome No. 4 No. 1"
150466,株式会社　山田眞薬局,1010061,,東京都千代田区神田三崎町三丁目４番８号,03-3261-0093,"Chiyoda-ku, Tokyo Kanda Misakichō Third Street No. 4 No. 8"
151191,小川町薬局,1010052,（調基１）（後発調１）（か薬）（在薬）,東京都千代田区神田小川町三丁目２番地１,03-3291-1065,"Ogawa-machi, Chiyoda-ku, Tokyo Kanda Third Street Address 2 1"
151258,神田登栄薬局,1010044,（調基１）（地支体）（後発調１）（か薬）（在薬）,東京都千代田区鍛冶町二丁目２番９号第二登栄ビル５階,03-3254-0848,"The second Toei Building 5th floor, Chiyoda-ku, Tokyo Kajichō No. chome No. 2 9"
151308,新お茶の水薬局,1010062,（調基２）（か薬）（在薬）,東京都千代田区神田駿河台四丁目３番地新お茶の水ビル地下１階,03-3295-6877,"Chiyoda-ku, Tokyo Surugadai, Kanda chome address 3 new Ochanomizu building basement first floor"
151365,東京薬局,1010051,（調基１）（在薬）,東京都千代田区神田神保町一丁目２１番地２,03-3291-0082,"Chiyoda-ku, Tokyo Kanda Jimbocho chome 21 address 2"
151530,二六堂調剤薬局,1010024,（調基１）（か薬）（在薬）,東京都千代田区神田和泉町１番地１１ファベルハウス１階,03-3864-8269,"1 address, Chiyoda-ku, Tokyo Kanda Izumi-cho, 11 Favell House 1 floor"
151571,マルマツ薬局,1020072,（調基１）（在薬）,東京都千代田区飯田橋二丁目９番５号,03-3261-7224,"Chiyoda-ku, Tokyo Iidabashi chome No. 9 No. 5"
151662,お茶の水駅前薬局,1010062,（調基１）（か薬）（在薬）,東京都千代田区神田駿河台二丁目３番地お茶の水髙木ビル１階,03-3291-2438,"Chiyoda-ku, Tokyo Surugadai, Kanda-chome address 3 Ochanomizu Takagi building the first floor"
151712,イヅミ薬局,1010024,（調基１）（在薬）,東京都千代田区神田和泉町１番地９,03-3866-5377,"Chiyoda-ku, Tokyo Kanda Izumi-cho, address 1 9"
151720,清水薬局,1020072,（調基１）（か薬）（在薬）,東京都千代田区飯田橋一丁目１０番４号,03-3261-3554,"Chiyoda-ku, Tokyo Iidabashi chome 10th No. 4"
151753,第一薬局,1010061,（調基１）（後発調２）,東京都千代田区三崎町一丁目４番８号愛光舎ビル１階,03-3295-3800,"Chiyoda-ku, Tokyo Misakichō chome No. 4 No. 8 Aiko building building the first floor"
151761,小西三誠堂薬局,1020083,（調基１）（在薬）,東京都千代田区麹町二丁目４番地１０三誠堂ビル１階,03-3262-5291,"Kojimachi, Chiyoda-ku, Tokyo chome address 4 10 Sanmakotodo building the first floor"
151811,和同会薬局,1010062,（調基１）（地支体）（か薬）（在薬）,東京都千代田区神田駿河台二丁目３番地２１,03-3814-0101,"Chiyoda-ku, Tokyo Surugadai, Kanda-chome address 3 21"
151910,興生堂薬局,1010051,（調基１）（地支体）（か薬）（在薬）,東京都千代田区神田神保町一丁目４８番地１,03-3291-4417,"Chiyoda-ku, Tokyo Kanda Jimbocho chome 48 address 1"
